Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in metal element,Pd at% in metal element,Au at% in metal element,Ir at% in metal element,Ru at% in metal element,Ni at% in metal element,Co at% in metal element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in metal element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,total metal mass ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle diameter £®nm£©,Particle variance,carbon substrate type,carbon particle diameter(nm),support BET surface area(m2/g),Reduction Temperature,Reduction Time/min,Reducing agent( chemical name in english),pH,Annealing Temperature,Annealing Time/h,Atomosphere h2,Atomosphere inert,ECSA m2/g,Mass Activity mA mg-1,Specific Activity mA cm-2,Half wave potential £®V vsRHE£©,Onset Potential £®V vsRHE£©,Reduce in MA/ mA mg-1,I/C Ratio(ionomer/catalyst),Area cm2,Cathodic Loading Amount mgPt cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,membrane thickness,Hot Press Temperature,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,GDE for 1,celltemp©,Flowing rate of H2 ml min-1,flowing rate of cathode gas(O2/air),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Back Pressure Mpa,"Current decay at 0.6V(ma,cm2)",Cathode gas oxygen ratio,Maximum Power Density mW cm-2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0
"Sputtered Pt loadings of membrane electrode
assemblies in proton exchange membrane fuel cells",Ying Liang Chen,china,Chung Yuan Christian University,2011,0.4 mg pt cm2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,2.7,,none,0,0,25,0,sputter,7,25,0,0,0,55,225,0.409090909,,,,,5,0.4,0.4,20,nafion 117,175,120,1,,100,1,65,225,300,1.5,2,225,300,,,1,240,0.91,0.76,0.68,0.63,0.54,0.48,0.4,0.3,0.20909,0.13333,0.06923,0.01429,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"Sb doped SnO2as a stable cathode catalyst support
for low temperature polymer electrolyte membrane
fuel cell",Paritosh Kumar Mohanta,Germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2017,ATO-0.25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,27.79,0,55.58,0,0,0,0,0,0,5.5,,oxide,,,120,180,ethylene glycol,10,250,1,0,1,84,225,0.267857143,,,,,25,0.3,0.3,,not-mentioned,,140,4,10,,1,80,202.5,600,1.35,4,202.5,600,0,,0.21,440,0.97,0.82,0.775,0.72,0.68,0.64,0.6,0.57,0.535,0.455,0.42,0.4,0.36,0.32,0.28238,0.24898,0.21914,0.1923,0.16805,0.14602,0.12592,0.10751,0.09059,0.07497,0.06052,0.04711,0.03463,0.02299,0.0121,0.01,0.01
"Oxide-supported PtCo alloy catalyst for intermediate temperature
polymer electrolyte fuel cells",Antonino S. Aric®∞,Italy,CNR-ITAE Istituto di Tecnologie Avanzate per l°ØEnergia °∞Nicola Giordano°±,2013,50% Pt3Co1/C,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,2.9,,XC-72R,30,230,25,0,none,7,150,2,1,0,55,180,0.327272727,,,,0.5,,0.3,0.3,,nafion 115,120,,,,100,1,80,,,,,0,0,0.3,,1,1109.82,,1,0.9,0.83,0.81,0.8,0.76,0.735,0.71,0.685,0.67,0.66,0.64,0.6,0.58,0.56,0.52,0.49,0.48,0.46,0.45,0.44,0.43031,0.42119,0.4126,0.40449,0.39683,0.38957,0.38269,0.37615,0.36994
"Oxide-supported PtCo alloy catalyst for intermediate temperature
polymer electrolyte fuel cells",Antonino S. Aric®∞,Italy,CNR-ITAE Istituto di Tecnologie Avanzate per l°ØEnergia °∞Nicola Giordano°±,2013,40% Pt3Co1/Ti0.75Ta0.25O2,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,48,18,6,0,0,0,0,2.9,,oxide,,150,25,0,none,7,150,2,1,0,12,217,1.808333333,,,,0.5,,0.3,0.3,,nafion 115,120,,,,100,1,80,,,,,0,0,0.3,,1,528,,0.9,0.8,0.75,0.7,0.62,0.62,0.59,0.56,0.53,0.5,0.48,0.44,0.39,0.32,0.29,0.25,0.21,0.17238,0.13898,0.10914,0.0823,0.05805,0.03602,0.01592,0.01,0.01,0.01,0.01,0.01,0.01
"Oxide-supported PtCo alloy catalyst for intermediate temperature
polymer electrolyte fuel cells",Antonino S. Aric®∞,Italy,CNR-ITAE Istituto di Tecnologie Avanzate per l°ØEnergia °∞Nicola Giordano°±,2013,40% Pt/Ti0.75Ta0.25O2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,48,18,6,0,0,0,0,3.9,,oxide,,150,25,0,none,7,150,2,1,0,2.5,217,8.68,,,,0.5,,0.3,0.3,,nafion 115,120,,,,100,1,80,,,,,0,0,0.3,,1,360,,0.85,0.7,0.65,0.6,0.55,0.5,0.46,0.42,0.4,0.35,0.3,0.28,0.26086,0.24328,0.2271,0.21214,0.19827,0.18539,0.17338,0.16216,0.15166,0.1418,0.13254,0.12382,0.11559,0.10781,0.10045,0.09347,0.08667,0.08021
"Oxide-supported PtCo alloy catalyst for intermediate temperature
polymer electrolyte fuel cells",Antonino S. Aric®∞,Italy,CNR-ITAE Istituto di Tecnologie Avanzate per l°ØEnergia °∞Nicola Giordano°±,2013,50% Pt3Co1/C,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,2.9,,XC-72R,30,230,25,0,none,7,150,2,1,0,55,180,0.327272727,,,,0.5,,0.3,0.3,,nafion 115,120,,,,100,1,100,,,,,0,0,0.3,,1,1060,,1,0.86,0.8,0.8,0.8,0.76,0.74,0.73,0.715,0.7,0.69,0.67,0.65,0.63,0.61,0.6,0.58,0.56,0.54,0.53,0.5,0.47156,0.44592,0.4227,0.40157,0.38225,0.36452,0.3482,0.33312,0.31915
"Oxide-supported PtCo alloy catalyst for intermediate temperature
polymer electrolyte fuel cells",Antonino S. Aric®∞,Italy,CNR-ITAE Istituto di Tecnologie Avanzate per l°ØEnergia °∞Nicola Giordano°±,2013,40% Pt3Co1/Ti0.75Ta0.25O2,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,48,18,6,0,0,0,0,2.9,,oxide,,150,25,0,none,7,150,2,1,0,12,217,1.808333333,,,,0.5,,0.3,0.3,,nafion 115,120,,,,100,1,100,,,,,0,0,0.3,,1,576,,0.92,0.8,0.75,0.7,0.68,0.64,0.63,0.61,0.57,0.55,0.5,0.48,0.42,0.39,0.36,0.3,0.26,0.21,0.18,0.15,0.12156,0.09592,0.0727,0.05157,0.03225,0.01452,0.01,0.01,0.01,0.01
"Oxide-supported PtCo alloy catalyst for intermediate temperature
polymer electrolyte fuel cells",Antonino S. Aric®∞,Italy,CNR-ITAE Istituto di Tecnologie Avanzate per l°ØEnergia °∞Nicola Giordano°±,2013,40% Pt/Ti0.75Ta0.25O2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,48,18,6,0,0,0,0,3.9,,oxide,,150,25,0,none,7,150,2,1,0,2.5,217,8.68,,,,0.5,,0.3,0.3,,nafion 115,120,,,,100,1,100,,,,,0,0,0.3,,1,442,,0.85,0.72,0.7,0.62,0.6,0.59,0.56,0.51,0.46,0.44,0.4,0.36,0.34,0.31,0.25,0.19,0.16,0.13156,0.10592,0.0827,0.06157,0.04225,0.02452,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Modified pulse electrodeposition of Pt nanocatalyst as high-performance electrode for PEMFC,F. Fouda-Onana,France,Centre de Grenoble,2014,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,40,50,,XC-72R,30,230,25,0,electro deposition,7,25,0,0,0,53,180,0.339622642,,,,0.333,5,0.12,0.4,46,nafion 212,50,,,,50,1,80,,,,,0,0,0.15,,1,1240.41,0.95,0.83,0.8,0.775,0.75,0.73,0.72,0.7,0.685,0.675,0.66,0.645,0.63,0.62,0.6,0.58086,0.56328,0.5471,0.53214,0.51827,0.50539,0.49338,0.48216,0.47166,0.4618,0.45254,0.44382,0.43559,0.42781,0.42045,0.41347
Pulse electrodeposition of Pt nanocatalysts on graphene-based electrodes for proton exchange membrane fuel cells,Chien-Te Hsieh,taiwan,Yuan Ze University,2014,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,30,0,0,0,0,0,40,4.4,,graphene,,600,25,0,electro deposition,7,25,0,0,0,94.9,180,0.18967334,,,,,,0.26,,,nafion 212,50,135,2,14,100,1,60,,,,,0,0,0.4,,1,343,0.93,0.8,0.74,0.695,0.64,0.6,0.54,0.49,0.42,0.35,0.2854,0.23007,0.18213,0.14021,0.10323,0.07037,0.04098,0.01454,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,38,15.8,0,0,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.4,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,174.36,225,0.129043359,,,,,5,0.3,0.3,10,not-mentioned,,,,,50,1,80,,,,,0,0,0.17,,1,819,0.975,0.8,0.77,0.745,0.72,0.695,0.67,0.65,0.625,0.6,0.59,0.56,0.55,0.54,0.51,0.5,0.48,0.45,0.445,0.42,0.4,0.39,0.36,0.35,0.325,0.3,0.29,0.25,0.245,0.205,0.16738
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,38,15.8,0,0,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.4,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,174.36,225,0.129043359,,,,,5,0.3,0.3,10,not-mentioned,,,,,50,1,80,,,,,0,0,0.103,,1,787.5,0.95,0.8,0.755,0.73,0.703,0.675,0.65,0.63,0.615,0.595,0.575,0.555,0.535,0.515,0.499,0.48,0.465,0.45,0.43,0.41,0.39,0.375,0.35,0.33,0.31,0.28,0.25156,0.22592,0.2027,0.18157,0.16225
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,38,15.8,0,0,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.4,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,174.36,225,0.129043359,,,,,5,0.3,0.3,10,not-mentioned,,,,,50,1,80,,,,,0,0,0.034,,1,663,0.975,0.78,0.74,0.71,0.675,0.65,0.625,0.6,0.575,0.555,0.53,0.51,0.49,0.475,0.45,0.43,0.41,0.39,0.365,0.345,0.325,0.302,0.275,0.251,0.24,0.22,0.198,0.17699,0.15777,0.14014,0.1239
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,38,15.8,0,0,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.4,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,174.36,225,0.129043359,,,,,5,0.3,0.3,10,not-mentioned,,,,,30,1,80,,,,,0,0,0.17,,1,819,0.925,0.81,0.77,0.745,0.715,0.69,0.67,0.65,0.625,0.602,0.59,0.575,0.56,0.53,0.515,0.498,0.475,0.46,0.44,0.425,0.405,0.39,0.37,0.345,0.325,0.31,0.295,0.27,0.25,0.23086,0.21328
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,38,15.8,0,0,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.4,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,174.36,225,0.129043359,,,,,5,0.3,0.3,10,not-mentioned,,,,,30,1,80,,,,,0,0,0.103,,1,722,0.95,0.785,0.748,0.71,0.68,0.66,0.635,0.61,0.595,0.575,0.55,0.525,0.515,0.495,0.475,0.455,0.435,0.42,0.4,0.38,0.36,0.34,0.325,0.302,0.285,0.26,0.23619,0.21455,0.19478,0.17667,0.16
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,38,15.8,0,0,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.4,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,174.36,225,0.129043359,,,,,5,0.3,0.3,10,not-mentioned,,,,,30,1,80,,,,,0,0,0.034,,1,556.8,0.95,0.755,0.7,0.675,0.64,0.61,0.58,0.55,0.525,0.5,0.48,0.453,0.43,0.415,0.395,0.37,0.348,0.325,0.301,0.28,0.253,0.227,0.203,0.18012,0.15928,0.14023,0.12273,0.10661,0.09171,0.0779,0.06506
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,23.6,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.3,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,52.54,225,0.428245147,,,,,5,0.3,0.3,10,not-mentioned,,,,,50,1,80,,,,,0,0,0.17,,1,680,0.95,0.795,0.75,0.71,0.69,0.65,0.63,0.6,0.59,0.56,0.54,0.52,0.5,0.475,0.455,0.445,0.42,0.4,0.375,0.35,0.34,0.32,0.29,0.26,0.25,0.24031,0.23119,0.2226,0.21449,0.20683,0.19957
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,23.6,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.3,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,52.54,225,0.428245147,,,,,5,0.3,0.3,10,not-mentioned,,,,,50,1,80,,,,,0,0,0.103,,1,562.8,0.95,0.75,0.7,0.665,0.635,0.605,0.585,0.55,0.53,0.51,0.495,0.47,0.45,0.425,0.402,0.375,0.35,0.327,0.302,0.285,0.26,0.235,0.21,0.18619,0.16455,0.14478,0.12667,0.11,0.09462,0.08037,0.06714
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,23.6,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.3,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,52.54,225,0.428245147,,,,,5,0.3,0.3,10,not-mentioned,,,,,50,1,80,,,,,0,0,0.034,,1,487.5,0.9,0.745,0.695,0.65,0.61,0.58,0.55,0.525,0.5,0.475,0.45,0.425,0.4,0.375,0.346,0.315,0.298,0.265,0.23,0.199,0.16963,0.14321,0.11931,0.09759,0.07775,0.05958,0.04286,0.02742,0.01314,0.01,0.01
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,23.6,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.3,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,52.54,225,0.428245147,,,,,5,0.3,0.3,10,not-mentioned,,,,,30,1,80,,,,,0,0,0.17,,1,657,0.95,0.78,0.747,0.703,0.675,0.65,0.625,0.598,0.575,0.551,0.527,0.502,0.485,0.465,0.445,0.425,0.4,0.38,0.365,0.345,0.322,0.3,0.275,0.248,0.225,0.2,0.17619,0.15455,0.13478,0.11667,0.1
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,23.6,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.3,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,52.54,225,0.428245147,,,,,5,0.3,0.3,10,not-mentioned,,,,,30,1,80,,,,,0,0,0.103,,1,586.5,0.93,0.76,0.71,0.675,0.64,0.605,0.575,0.55,0.525,0.5,0.475,0.45,0.43,0.41,0.39,0.365,0.365,0.345,0.32,0.3,0.27,0.25,0.222,0.2,0.17899,0.15977,0.14214,0.1259,0.1109,0.09699,0.08406
Investigating the influence of Pd situation (as core or shell) in synthesized catalyst for ORR in PEMFC,M. Javaheri,Iran,"Materials and Energy Research Center, Karaj",2015,,23.6,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,2.3,,XC-72R,,,130,0,ethylene glycol,10,25,0,0,0,52.54,225,0.428245147,,,,,5,0.3,0.3,10,not-mentioned,,,,,30,1,80,,,,,0,0,0.034,,1,325,0.95,0.72,0.65,0.59,0.548,0.5,0.465,0.425,0.39,0.355,0.325,0.29,0.255,0.22,0.18695,0.15741,0.13083,0.10679,0.08495,0.06501,0.04675,0.02995,0.01445,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Conical nano-structure arrays of Platinum cathode catalyst for enhanced cell performance in PEMFC (proton exchange membrane fuel cell),Joyanti Chutia,India,Institute of Advanced Study in Science and Technology,2015,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,40,4.4,,none,0,0,25,0,electro deposition,7,25,0,0,0,107.14,180,0.16800448,,,,,4,0.1,0.05,,nafion 212,50,130,2.5,50,100,1,70,150,300,1,2,150,300,0,,1,684,0.95,0.81,0.78,0.74,0.705,0.68,0.66,0.62,0.6,0.58,0.56,0.52,0.5,0.49,0.47,0.43,0.405,0.39,0.38,0.34,0.31,0.3,0.28,0.25,0.22,0.2,0.18086,0.16328,0.1471,0.13214,0.11827
Conical nano-structure arrays of Platinum cathode catalyst for enhanced cell performance in PEMFC (proton exchange membrane fuel cell),Joyanti Chutia,India,Institute of Advanced Study in Science and Technology,2015,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,40,4.4,,none,0,0,25,0,electro deposition,7,25,0,0,0,145.24,180,0.123932801,,,,,4,0.1,0.05,,nafion 212,50,130,2.5,50,100,1,70,150,300,1,2,150,300,0,,1,912,0.95,0.88,0.84,0.81,0.795,0.78,0.75,0.72,0.7,0.68,0.65,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.49,0.47,0.45,0.42,0.4,0.395,0.38,0.35,0.32156,0.29592,0.2727,0.25157,0.23225
Conical nano-structure arrays of Platinum cathode catalyst for enhanced cell performance in PEMFC (proton exchange membrane fuel cell),Joyanti Chutia,India,Institute of Advanced Study in Science and Technology,2015,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,40,4.4,,none,0,0,25,0,electro deposition,7,25,0,0,0,101.55,180,0.177252585,,,,,4,0.1,0.05,,nafion 212,50,130,2.5,50,100,1,70,150,300,1,2,150,300,0,,1,632,0.92,0.84,0.8,0.75,0.705,0.69,0.64,0.6,0.595,0.57,0.54,0.5,0.49,0.45,0.42,0.4,0.395,0.37,0.33,0.3,0.295,0.26,0.23,0.2,0.19,0.17,0.15086,0.13328,0.1171,0.10214,0.08827
Conical nano-structure arrays of Platinum cathode catalyst for enhanced cell performance in PEMFC (proton exchange membrane fuel cell),Joyanti Chutia,India,Institute of Advanced Study in Science and Technology,2015,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,40,4.4,,none,0,0,25,0,electro deposition,7,25,0,0,0,133.49,180,0.134841561,,,,,4,0.1,0.05,,nafion 212,50,130,2.5,50,100,1,70,150,300,1,2,150,300,0,,1,760,0.95,0.88,0.81,0.795,0.75,0.72,0.7,0.68,0.65,0.61,0.595,0.58,0.53,0.505,0.495,0.48,0.45,0.43,0.4,0.395,0.38,0.35,0.32,0.3,0.29,0.27,0.25086,0.23328,0.2171,0.20214,0.18827
Influence of the ionomer/carbon ratio for low-Pt loading catalyst layer prepared by reactive spray deposition technology,Haoran Yu,United States,University of Connecticut,2015,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,4.4,,XC-72R,30,230,25,0,xyelene,7,25,0,0,0,62,180,0.290322581,,,,0.3,25,0.07,,,nafion 211,25,,,,100,0,80,500,1000,2,2,300,300,0.1,,0.21,450,0.98,0.75,0.71,0.69,0.66,0.64,0.61,0.58,0.54,0.5,0.45,0.39,0.33431,0.2861,0.24394,0.20677,0.17375,0.14423,0.11766,0.09364,0.07182,0.0519,0.03364,0.01685,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Influence of the ionomer/carbon ratio for low-Pt loading catalyst layer prepared by reactive spray deposition technology,Haoran Yu,United States,University of Connecticut,2015,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,4.4,,XC-72R,30,230,25,0,xyelene,7,25,0,0,0,62,180,0.290322581,,,,0.3,25,0.07,,,nafion 211,25,,,,100,0,80,261,625,2,2,300,300,0.1,,1,1418.88,1.3,0.8,0.76,0.745,0.725,0.705,0.695,0.68,0.66,0.65,0.645,0.63,0.615,0.605,0.595,0.58,0.57,0.56031,0.55119,0.5426,0.53449,0.52683,0.51957,0.51269,0.50615,0.49994,0.49403,0.48839,0.48301,0.47787,0.47296
Kinetic study of oxygen reduction reaction and PEM fuel cell performance of Pt/TiO2-C electrocatalyst,B. Ruiz-Camacho,Mexico,"Ingenier®™a en Energ®™a, Universidad Polit®¶cnica de Guanajuato, Av",2014,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,90,20,,XC-72R,30,230,25,0,propyl alcohol,7,25,0,0,0,55,225,0.409090909,,,,,5,0.1,0.4,40,nafion 115,175,120,2,1.1,100,0,80,100,100,,,0,0,0,,1,105,0.83,0.57,0.43,0.35,0.25,0.15,0.05909,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Effect of PTFE nanoparticles in catalyst layer with high Pt loading on PEM fuel cell performance,Gokce S. Avcioglu,Turkey,Middle East Technical University,2016,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,30,4.4,,XC-72R,30,230,25,0,electro deposition,10,25,0,0,0,86,175,0.203488372,,,,0.825,5,1.2,1.2,70,nafion 212,50,135,5,2,100,1,70.2,100,100,,,0,0,0.02,,1,1100,1,0.86,0.84,0.8,0.775,0.755,0.74,0.725,0.7,0.695,0.675,0.66,0.65,0.64,0.61,0.6,0.59,0.56,0.555,0.545,0.52,0.5,0.49,0.475,0.45,0.44,0.41,0.39,0.36,0.33156,0.30592
Effect of PTFE nanoparticles in catalyst layer with high Pt loading on PEM fuel cell performance,Gokce S. Avcioglu,Turkey,Middle East Technical University,2016,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,30,4.4,,XC-72R,30,230,25,0,electro deposition,10,25,0,0,0,86,175,0.203488372,,,,1,5,1.2,1.2,70,nafion 212,50,135,5,2,100,1,70.2,100,100,,,0,0,0.02,,1,980,1,0.86,0.84,0.8,0.775,0.755,0.74,0.725,0.7,0.695,0.675,0.66,0.64,0.61,0.6,0.59,0.56,0.55,0.53,0.5,0.49,0.46,0.44,0.4,0.36,0.32238,0.28898,0.25914,0.2323,0.20805,0.18602
Effect of PTFE nanoparticles in catalyst layer with high Pt loading on PEM fuel cell performance,Gokce S. Avcioglu,Turkey,Middle East Technical University,2016,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,30,4.4,,XC-72R,30,230,25,0,electro deposition,10,25,0,0,0,86,175,0.203488372,,,,1.54,5,1.2,1.2,70,nafion 212,50,135,5,2,100,1,70.2,100,100,,,0,0,0.02,,1,850,1,0.86,0.84,0.79,0.76,0.74,0.72,0.7,0.68,0.655,0.64,0.62,0.6,0.575,0.56,0.54,0.51,0.5,0.47,0.44,0.41,0.4,0.355,0.32,0.28695,0.25741,0.23083,0.20679,0.18495,0.16501,0.14675
Effect of PTFE nanoparticles in catalyst layer with high Pt loading on PEM fuel cell performance,Gokce S. Avcioglu,Turkey,Middle East Technical University,2016,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,30,4.4,,XC-72R,30,230,25,0,electro deposition,10,25,0,0,0,86,175,0.203488372,,,,2.3,5,1.2,1.2,70,nafion 212,50,135,5,2,100,1,70.2,100,100,,,0,0,0.02,,1,810,1,0.86,0.84,0.79,0.76,0.74,0.72,0.7,0.68,0.655,0.64,0.62,0.6,0.57,0.55,0.52,0.5,0.47,0.45,0.41,0.39,0.35,0.31,0.27238,0.23898,0.20914,0.1823,0.15805,0.13602,0.11592,0.09751
